Ranking,movie_name,year,Runtime,Rating,Number_of_ratings
1.,The Shawshank Redemption,1994,2h22m,A,2.9M
2.,The Godfather,1972,2h55m,A,2M
3.,The Dark Knight,2008,2h32m,UA,2.9M
4.,The Godfather: Part II,1974,3h22m,A,1.4M
5.,12 Angry Men,1957,1h36m,U,864K
6.,Schindler's List,1993,3h15m,A,1.4M
7.,The Lord of the Rings: The Return of the King,2003,3h21m,U,2M
8.,Pulp Fiction,1994,2h34m,A,2.2M
9.,The Lord of the Rings: The Fellowship of the Ring,2001,2h58m,U,2M
10.,"Il Buono, Il Brutto, Il Cattivo",1966,2h41m,A,811K
11.,Forrest Gump,1994,2h22m,UA,2.3M
12.,The Lord of the Rings: The Two Towers,2002,2h59m,UA,1.8M
13.,Fight Club,1999,2h19m,A,2.3M
14.,Inception,2010,2h28m,UA,2.5M
15.,Star Wars: Episode V - The Empire Strikes Back,1980,2h4m,UA,1.4M
16.,The Matrix,1999,2h16m,A,2.1M
17.,GoodFellas,1990,2h25m,A,1.3M
18.,One Flew Over the Cuckoo's Nest,1975,2h13m,A,1.1M
19.,Dune: Part Two,2024,2h46m,PG-13,364K
20.,Se7en,1995,2h7m,A,1.8M
21.,Interstellar,2014,2h49m,UA,2.1M
22.,It's a Wonderful Life,1946,2h10m,PG,499K
23.,Shichinin No Samurai,1954,3h27m,U,367K
24.,The Silence of the Lambs,1991,1h58m,A,1.5M
25.,Saving Private Ryan,1998,2h49m,A,1.5M
26.,City of God,2002,2h10m,A,801K
27.,Life Is Beautiful,1997,1h56m,U,743K
28.,The Green Mile,1999,3h9m,UA,1.4M
29.,Terminator 2: Judgment Day,1991,2h17m,A,1.2M
30.,Star Wars: Episode IV - A New Hope,1977,2h1m,U,1.4M
31.,Back to the Future,1985,1h56m,U,1.3M
32.,Spirited Away,2001,2h5m,U,849K
33.,The Pianist,2002,2h30m,13,912K
34.,Parasite,2019,2h12m,A,958K
35.,Psycho,1960,1h49m,A,718K
36.,Spider-man: Across the Spider-verse,2023,2h20m,U,368K
37.,Gladiator,2000,2h35m,UA,1.6M
38.,The Lion King,1994,1h28m,U,1.1M
39.,Léon,1994,1h50m,A,1.2M
40.,The Departed,2006,2h31m,A,1.4M
41.,American History X,1998,1h59m,R,1.2M
42.,Whiplash,2014,1h46m,A,988K
43.,The Prestige,2006,2h10m,U,1.4M
44.,Grave of the Fireflies,1988,1h29m,U,310K
45.,Seppuku,1962,2h13m,Not Rated,69K
46.,The Usual Suspects,1995,1h46m,A,1.1M
47.,Casablanca,1942,1h42m,U,606K
48.,Intouchables,2011,1h52m,UA,929K
49.,Cinema Paradiso,1988,2h54m,U,283K
50.,Modern Times,1936,1h27m,G,259K
51.,Rear Window,1954,1h52m,U,522K
52.,C'era Una Volta Il West,1968,2h46m,U,349K
53.,Alien,1979,1h57m,R,950K
54.,City Lights,1931,1h27m,G,196K
55.,Django Unchained,2012,2h45m,A,1.7M
56.,Apocalypse Now,1979,2h27m,R,710K
57.,Memento,2000,1h53m,UA,1.3M
58.,12th Fail,2023,2h27m,,111K
59.,WALL·E,2008,1h38m,U,1.2M
60.,Raiders of the Lost Ark,1981,1h55m,A,1M
61.,Das Leben der Anderen,2006,2h17m,A,410K
62.,Sunset Blvd.,1950,1h50m,A,236K
63.,Paths of Glory,1957,1h28m,A,212K
64.,Avengers: Infinity War,2018,2h29m,UA,1.2M
65.,Spider-Man: Into the Spider-Verse,2018,1h57m,U,671K
66.,Witness for the Prosecution,1957,1h56m,U,138K
67.,The Shining,1980,2h26m,A,1.1M
68.,The Great Dictator,1940,2h5m,G,237K
69.,Alien ,2198,62h17m,U,763K
70.,Inglourious Basterds,2009,2h33m,A,1.6M
71.,The Dark Knight Rises,2012,2h44m,UA,1.8M
72.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h35m,PG,518K
73.,American Beauty,1999,2h2m,UA,1.2M
74.,Oldeuboi,2003,1h41m,A,635K
75.,Coco,2017,1h45m,U,590K
76.,Amadeus,1984,2h40m,PG,428K
77.,Toy Story,1995,1h21m,U,1.1M
78.,Das Boot,1981,2h29m,,264K
79.,Avengers: Endgame,2019,3h1m,UA,1.3M
80.,Braveheart,1995,2h58m,A,1.1M
81.,Joker,2019,2h2m,A,1.5M
82.,Mononoke-hime,1997,2h14m,U,433K
83.,Good Will Hunting,1997,2h6m,U,1.1M
84.,Kimi No Na Wa.,2016,1h46m,U,320K
85.,Once Upon a Time in America,1984,3h49m,A,378K
86.,Tengoku to Jigoku,1963,2h23m,Not Rated,53K
87.,3 Idiots,2009,2h50m,UA,434K
88.,Singin' in the Rain,1952,1h43m,G,261K
89.,Capharnaüm,2018,2h6m,A,105K
90.,Requiem for a Dream,2000,1h42m,A,898K
91.,Idi I Smotri,1985,2h22m,A,97K
92.,Toy Story ,3201,01h43m,U,892K
93.,Star Wars: Episode VI - Return of the Jedi,1983,2h11m,U,1.1M
94.,Oppenheimer,2023,3h,R,724K
95.,Eternal Sunshine of the Spotless Mind,2004,1h48m,UA,1.1M
96.,Jagten,2012,1h55m,7,364K
97.,,2001,2h29m,U,719K
98.,Reservoir Dogs,1992,1h39m,15+,1.1M
99.,Ikiru,1952,2h23m,U,87K
100.,Lawrence of Arabia,1962,3h38m,U,314K
101.,The Apartment,1960,2h5m,U,197K
102.,North by Northwest,1959,2h16m,U,346K
103.,Citizen Kane,1941,1h59m,UA,466K
104.,Incendies,2010,2h11m,18,200K
105.,Vertigo,1958,2h8m,A,427K
106.,M - Eine Stadt sucht einen Mörder,1931,1h57m,Passed,168K
107.,Double Indemnity,1944,1h47m,A,167K
108.,Scarface,1983,2h50m,A,916K
109.,Le fabuleux destin d'Amélie Poulain,2001,2h2m,U,794K
110.,Full Metal Jacket,1987,1h56m,UA,790K
111.,Heat,1995,2h50m,A,719K
112.,A Clockwork Orange,1971,2h16m,A,881K
113.,Up,2009,1h36m,U,1.1M
114.,To Kill a Mockingbird,1962,2h9m,U,333K
115.,The Sting,1973,2h9m,U,280K
116.,Jodaeiye Nader Az Simin,2011,2h3m,7,258K
117.,Indiana Jones and the Last Crusade,1989,2h7m,U,811K
118.,Die Hard,1988,2h12m,A,945K
119.,Metropolis,1927,2h33m,Not Rated,185K
120.,Taare Zameen Par,2007,2h42m,U,207K
121.,Snatch,2000,1h44m,UA,910K
122.,Hamilton,2020,2h40m,12+,114K
123.,L.A. Confidential,1997,2h18m,A,618K
124.,,1917,91h59m,R,675K
125.,Ladri Di Biciclette,1948,1h29m,U,175K
126.,Taxi Driver,1976,1h54m,A,920K
127.,Der Untergang,2004,2h36m,UA,375K
128.,Dangal,2016,2h41m,U,211K
129.,Per qualche dollaro in più,1965,2h12m,U,275K
130.,Batman Begins,2005,2h20m,UA,1.6M
131.,The Wolf of Wall Street,2013,3h,A,1.6M
132.,Some Like It Hot,1959,2h1m,U,283K
133.,Green Book,2018,2h10m,UA,571K
134.,The Kid,1921,1h8m,Passed,135K
135.,The Father,2020,1h37m,UA,193K
136.,Judgment at Nuremberg,1961,2h59m,A,85K
137.,All About Eve,1950,2h18m,A,139K
138.,The Truman Show,1998,1h43m,U,1.2M
139.,Top Gun: Maverick,2022,2h10m,UA,696K
140.,Shutter Island,2010,2h18m,A,1.5M
141.,There Will Be Blood,2007,2h38m,A,641K
142.,Casino,1995,2h58m,A,564K
143.,Jurassic Park,1993,2h7m,UA,1.1M
144.,Ran,1985,2h40m,Not Rated,136K
145.,The Sixth Sense,1999,1h47m,A,1.1M
146.,El Laberinto Del Fauno,2006,1h58m,R,703K
147.,Unforgiven,1992,2h10m,A,436K
148.,No Country for Old Men,2007,2h2m,18,1.1M
149.,A Beautiful Mind,2001,2h15m,UA,986K
150.,The Thing,1982,1h49m,A,466K
151.,The Treasure of the Sierra Madre,1948,2h6m,A,132K
152.,Kill Bill: Vol. ,1200,31h51m,A,1.2M
153.,Yojimbo,1961,1h50m,U,131K
154.,Monty Python and the Holy Grail,1975,1h31m,U,570K
155.,The Great Escape,1963,2h52m,U,259K
156.,Finding Nemo,2003,1h40m,U,1.1M
157.,Rashōmon,1950,1h28m,U,180K
158.,Prisoners,2013,2h33m,A,809K
159.,Hauru No Ugoku Shiro,2004,1h59m,U,449K
160.,The Elephant Man,1980,2h4m,UA,258K
161.,Chinatown,1974,2h10m,UA,350K
162.,Dial M for Murder,1954,1h45m,A,189K
163.,Gone with the Wind,1939,3h58m,U,334K
164.,V for Vendetta,2005,2h12m,UA,1.2M
165.,"Lock, Stock and Two Smoking Barrels",1998,1h47m,A,616K
166.,El Secreto De Sus Ojos,2009,2h9m,R,222K
167.,Inside Out,2015,1h35m,U,785K
168.,Raging Bull,1980,2h9m,A,380K
169.,"Three Billboards Outside Ebbing, Missouri",2017,1h55m,A,555K
170.,Trainspotting,1996,1h33m,A,725K
171.,The Bridge on the River Kwai,1957,2h41m,U,233K
172.,Spider-Man: No Way Home,2021,2h28m,UA,878K
173.,Fargo,1996,1h38m,A,726K
174.,Klaus,2019,1h36m,7,190K
175.,Catch Me If You Can,2002,2h21m,A,1.1M
176.,Warrior,2011,2h20m,UA,498K
177.,Godzilla Minus One,2023,2h4m,PG-13,49K
178.,Gran Torino,2008,1h56m,UA,815K
179.,My Neighbour Totoro,1988,1h26m,U,380K
180.,Million Dollar Baby,2004,2h12m,UA,721K
181.,Harry Potter and the Deathly Hallows: Part ,2201,12h10m,UA,948K
182.,Bacheha-Ye Aseman,1997,1h29m,PG,81K
183.,12 Years a Slave,2013,2h14m,A,741K
184.,Blade Runner,1982,1h57m,UA,823K
185.,Before Sunrise,1995,1h41m,16,339K
186.,Ben-Hur,1959,3h32m,U,254K
187.,The Grand Budapest Hotel,2014,1h39m,UA,886K
188.,Barry Lyndon,1975,3h5m,U,183K
189.,Gone Girl,2014,2h29m,A,1.1M
190.,Hacksaw Ridge,2016,2h19m,A,594K
191.,The Gold Rush,1925,1h35m,A,119K
192.,Salinui Chueok,2003,2h11m,UA,216K
193.,In the Name of the Father,1993,2h13m,UA,187K
194.,Dead Poets Society,1989,2h8m,U,545K
195.,Relatos Salvajes,2014,2h2m,18,216K
196.,Mad Max: Fury Road,2015,2h,UA,1.1M
197.,The General,1926,1h18m,Passed,98K
198.,The Deer Hunter,1978,3h3m,A,362K
199.,On the Waterfront,1954,1h48m,A,165K
200.,"Monsters, Inc.",2001,1h32m,U,978K
201.,Sherlock Jr.,1924,45m,Passed,57K
202.,The Third Man,1949,1h44m,U,182K
203.,Le Salaire De La Peur,1953,2h11m,U,67K
204.,How to Train Your Dragon,2010,1h38m,U,800K
205.,Jaws,1975,2h4m,A,659K
206.,Smultronstället,1957,1h31m,U,115K
207.,Mary and Max,2009,1h32m,U,187K
208.,Mr. Smith Goes to Washington,1939,2h9m,U,121K
209.,Ratatouille,2007,1h51m,U,824K
210.,Ford v. Ferrari,2019,2h32m,UA,474K
211.,Tokyo Story,1953,2h16m,U,69K
212.,The Big Lebowski,1998,1h57m,UA,860K
213.,Room,2015,1h58m,U,450K
214.,Det Sjunde Inseglet,1957,1h36m,A,198K
215.,Rocky,1976,2h,U,628K
216.,Logan,2017,2h17m,A,831K
217.,Spotlight,2015,2h9m,A,502K
218.,Hotel Rwanda,2004,2h1m,UA,372K
219.,The Terminator,1984,1h47m,A,924K
220.,Platoon,1986,2h,UA,439K
221.,La passion de Jeanne d'Arc,1928,1h50m,Passed,61K
222.,Before Sunset,2004,1h20m,A,288K
223.,La haine,1995,1h38m,Not Rated,196K
224.,The Best Years of Our Lives,1946,2h50m,A,71K
225.,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h23m,UA,1.2M
226.,The Exorcist,1973,2h2m,A,455K
227.,Rush,2013,2h3m,R,513K
228.,Jai Bhim,2021,2h44m,A,217K
229.,Network,1976,2h1m,UA,171K
230.,Stand by Me,1986,1h29m,U,441K
231.,The Wizard of Oz,1939,1h42m,U,428K
232.,The Incredibles,2004,1h55m,U,808K
233.,Hachi: A Dog's Tale,2009,1h33m,U,311K
234.,Ah-ga-ssi,2016,2h25m,A,173K
235.,Into the Wild,2007,2h28m,U,658K
236.,My Father and My Son,2005,1h52m,Not Rated,93K
237.,The Sound of Music,1965,2h52m,U,261K
238.,The Grapes of Wrath,1940,2h9m,A,100K
239.,To Be or Not to Be,1942,1h39m,A,43K
240.,La battaglia di Algeri,1966,2h1m,Not Rated,66K
241.,Groundhog Day,1993,1h41m,U,685K
242.,Amores perros,2000,2h34m,A,253K
243.,Rebecca,1940,2h10m,A,147K
244.,The Iron Giant,1999,1h26m,U,227K
245.,Cool Hand Luke,1967,2h7m,U,188K
246.,The Help,2011,2h26m,UA,493K
247.,It Happened One Night,1934,1h45m,A,112K
248.,Aladdin,1992,1h30m,U,467K
249.,Dances with Wolves,1990,3h1m,U,290K
250.,Drishyam,2015,2h43m,UA,94K
